img1_path,img2_path,label
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Carson_Daly\Carson_Daly_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Carson_Daly\Carson_Daly_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\James_Traficant\James_Traficant_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\James_Traficant\James_Traficant_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mark_Wahlberg\Mark_Wahlberg_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mark_Wahlberg\Mark_Wahlberg_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Valerie_Harper\Valerie_Harper_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Valerie_Harper\Valerie_Harper_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Nan_Wang\Nan_Wang_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Donna_Walker\Donna_Walker_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Anne_Heche\Anne_Heche_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Peter_Hunt\Peter_Hunt_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jodie_Kidd\Jodie_Kidd_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Ken_Watanabe\Ken_Watanabe_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Silvio_Fernandez\Silvio_Fernandez_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Silvio_Fernandez\Silvio_Fernandez_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jennifer_Garner\Jennifer_Garner_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Raoul_Ruiz\Raoul_Ruiz_0002.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Christopher_Patten\Christopher_Patten_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Christopher_Patten\Christopher_Patten_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Christine_Gregoire\Christine_Gregoire_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Christine_Gregoire\Christine_Gregoire_0004.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Thomas_Malchow\Thomas_Malchow_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Thomas_Malchow\Thomas_Malchow_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Dave_Matthews\Dave_Matthews_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Claudio_Ranieri\Claudio_Ranieri_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Catherine_Zeta-Jones\Catherine_Zeta-Jones_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Catherine_Zeta-Jones\Catherine_Zeta-Jones_0005.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Barrett_Jackman\Barrett_Jackman_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Phil_Cline\Phil_Cline_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Sachin_Tendulkar\Sachin_Tendulkar_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jay_Leno\Jay_Leno_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Al_Gore\Al_Gore_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Al_Gore\Al_Gore_0006.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Nancy_Kerrigan\Nancy_Kerrigan_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Franklin_Brown\Franklin_Brown_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Anne_Krueger\Anne_Krueger_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Doris_Roberts\Doris_Roberts_0001.npy,0
