img1_path,img2_path,label
ValidationSet\RawFaces\Face Dataset\967\9.npy,ValidationSet\RawFaces\Face Dataset\724\1.npy,0
ValidationSet\RawFaces\Face Dataset\1011\2.npy,ValidationSet\RawFaces\Face Dataset\1011\0.npy,1
ValidationSet\RawFaces\Face Dataset\868\7.npy,ValidationSet\RawFaces\Face Dataset\868\5.npy,1
ValidationSet\RawFaces\Face Dataset\1391\2.npy,ValidationSet\RawFaces\Face Dataset\914\1.npy,0
ValidationSet\RawFaces\Face Dataset\610\1.npy,ValidationSet\RawFaces\Face Dataset\1076\3.npy,0
ValidationSet\RawFaces\Face Dataset\838\1.npy,ValidationSet\RawFaces\Face Dataset\978\1.npy,0
ValidationSet\RawFaces\Face Dataset\1341\1.npy,ValidationSet\RawFaces\Face Dataset\1301\0.npy,0
ValidationSet\RawFaces\Face Dataset\765\3.npy,ValidationSet\RawFaces\Face Dataset\765\2.npy,1
ValidationSet\RawFaces\Face Dataset\525\1.npy,ValidationSet\RawFaces\Face Dataset\525\0.npy,1
ValidationSet\RawFaces\Face Dataset\355\0.npy,ValidationSet\RawFaces\Face Dataset\355\1.npy,1
ValidationSet\RawFaces\Face Dataset\1107\4.npy,ValidationSet\RawFaces\Face Dataset\1065\1.npy,0
ValidationSet\RawFaces\Face Dataset\565\1.npy,ValidationSet\RawFaces\Face Dataset\565\0.npy,1
ValidationSet\RawFaces\Face Dataset\1451\2.npy,ValidationSet\RawFaces\Face Dataset\1451\0.npy,1
ValidationSet\RawFaces\Face Dataset\983\0.npy,ValidationSet\RawFaces\Face Dataset\820\1.npy,0
ValidationSet\RawFaces\Face Dataset\945\1.npy,ValidationSet\RawFaces\Face Dataset\755\6.npy,0
ValidationSet\RawFaces\Face Dataset\711\0.npy,ValidationSet\RawFaces\Face Dataset\621\2.npy,0
ValidationSet\RawFaces\Face Dataset\694\2.npy,ValidationSet\RawFaces\Face Dataset\341\1.npy,0
ValidationSet\RawFaces\Face Dataset\1617\0.npy,ValidationSet\RawFaces\Face Dataset\1617\1.npy,1
ValidationSet\RawFaces\Face Dataset\486\0.npy,ValidationSet\RawFaces\Face Dataset\797\2.npy,0
ValidationSet\RawFaces\Face Dataset\600\0.npy,ValidationSet\RawFaces\Face Dataset\600\3.npy,1
ValidationSet\RawFaces\Face Dataset\422\2.npy,ValidationSet\RawFaces\Face Dataset\422\1.npy,1
ValidationSet\RawFaces\Face Dataset\1493\1.npy,ValidationSet\RawFaces\Face Dataset\172\1.npy,0
ValidationSet\RawFaces\Face Dataset\1249\0.npy,ValidationSet\RawFaces\Face Dataset\1430\0.npy,0
ValidationSet\RawFaces\Face Dataset\1154\0.npy,ValidationSet\RawFaces\Face Dataset\5\0.npy,0
ValidationSet\RawFaces\Face Dataset\835\2.npy,ValidationSet\RawFaces\Face Dataset\835\0.npy,1
ValidationSet\RawFaces\Face Dataset\1676\4.npy,ValidationSet\RawFaces\Face Dataset\1676\0.npy,1
ValidationSet\RawFaces\Face Dataset\1162\3.npy,ValidationSet\RawFaces\Face Dataset\1162\0.npy,1
ValidationSet\RawFaces\Face Dataset\1470\0.npy,ValidationSet\RawFaces\Face Dataset\672\0.npy,0
